product_id,name,sku,image_url,product_url,store_code,store_name,price,original_price,main_category,category_level_1,category_level_2,brand,visible,status,unit,promotion_name,mm_promotion_type,mm_features,mm_start,mm_end,dnr_no,dnr_interpretation,main_category_uid,category_level_1_uid,category_level_2_uid
192581_10029,"Sữa thanh trùng Lothamilk, 1.76 lít",192581_21925818,https://mmpro.vn/media/catalog/product/1/9/192581.jpg,https://online.mmvietnam.com/product/sua-tiet-trung-lothamilk-co-duong-1760ml.html,10029,"MM Food Service Hưng Phú",86000.000000,86000.000000,"Bơ - Trứng - Sữa","Bơ - Phô mai - Sữa chua","Sữa tươi",,Yes,Active,Chai,,,,,,,,MjQ5MjY=,MjQ5Mjc=,MjQ5NDM=
214729_10029,"Sữa thanh trùng DalatMilk có đường, 450ml",214729_22147295,https://mmpro.vn/media/catalog/product/2/1/214729.jpg,https://online.mmvietnam.com/product/sua-thanh-trung-dalat-milk-co-duong-450ml.html,10029,"MM Food Service Hưng Phú",24900.000000,24900.000000,"Bơ - Trứng - Sữa","Bơ - Phô mai - Sữa chua","Sữa tươi",,Yes,Active,Hộp,,,,,,,,MjQ5MjY=,MjQ5Mjc=,MjQ5NDM=
332744_10029,"Sữa đậu nành thanh trùng Ichiban, 350ml",332744_23327443,https://mmpro.vn/media/catalog/product/3/3/332744.jpg,https://online.mmvietnam.com/product/sua-dau-nanh-thanh-trung-ichiban-350ml.html,10029,"MM Food Service Hưng Phú",19900.000000,19900.000000,"Bơ - Trứng - Sữa","Bơ - Phô mai - Sữa chua","Sữa tươi","NO BRAND",Yes,Active,Chai,,,,,,,,MjQ5MjY=,MjQ5Mjc=,MjQ5NDM=
123950_10029,"Cà phê G7 hòa tan 2in1, hộp 15 gói, 16g",123950_21239502,https://mmpro.vn/media/catalog/product/1/2/123950.jpg,https://online.mmvietnam.com/product/ca-phe-g7-hoa-tan-2in1-hop-15-goi-16g.html,10029,"MM Food Service Hưng Phú",74000.000000,74000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",G7,Yes,Active,Hộp,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
125066_10029,"Cà phê 3in1 G7, hộp 50 gói, 16g",125066_21250668,https://mmpro.vn/media/catalog/product/1/2/125066.jpg,https://online.mmvietnam.com/product/ca-phe-3in1-g7-hop-50-goi-16g.html,10029,"MM Food Service Hưng Phú",165000.000000,162000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",G7,Yes,Active,Hộp,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
128717_10029,"Cà phê đen đá Nescafe Việt, hộp 15 gói, 16g",128717_21287176,https://mmpro.vn/media/catalog/product/1/2/128717.jpg,https://online.mmvietnam.com/product/ca-phe-den-da-nescafe-cafe-viet-hop-15-goi-16g.html,10029,"MM Food Service Hưng Phú",61000.000000,66000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",NESCAFE,Yes,Active,Hộp,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
179845_10029,"Cà phê sữa hòa tan G7 3in1, túi 21 gói, 16g",179845_21798450,https://mmpro.vn/media/catalog/product/1/7/179845_1.jpg,https://online.mmvietnam.com/product/ca-phe-sua-hoa-tan-g7-3in1-tui-21-goi-16g.html,10029,"MM Food Service Hưng Phú",80000.000000,80000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",G7,Yes,Active,Hộp,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
179839_10029,"Cà phê Legend Cappu Hezenut, hộp 12 gói, 18g",179839_21798399,https://mmpro.vn/media/catalog/product/1/7/179839.jpg,https://online.mmvietnam.com/product/ca-phe-legend-cappu-hezenut-hop-12-goi-18g.html,10029,"MM Food Service Hưng Phú",80000.000000,80000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê","TRUNG NGUYEN",Yes,Active,Hộp,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
187702_10029,"Café Wake Up hương chồn, 18 gói, 17g",187702_21877025,https://mmpro.vn/media/catalog/product/1/8/187702.jpg,https://online.mmvietnam.com/product/cafe-wake-up-huong-chon-18-goi-17g.html,10029,"MM Food Service Hưng Phú",47000.000000,56000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê","WAKE UP",Yes,Active,Hộp,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
190970_10029,"Cà phê hoà tan Nescafe 3in1 nguyên bản, túi 46 gói, 17g/16g",190970_21909702,https://mmpro.vn/media/catalog/product/1/9/190970.jpg,https://online.mmvietnam.com/product/ca-phe-hoa-tan-nescafe-3in1-nguyen-ban-tui-46-goi-17g-16g.html,10029,"MM Food Service Hưng Phú",144000.000000,152000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",NESCAFE,Yes,Active,Túi,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
201911_10029,"Cà phê sữa 3in1 Gold Original, túi 24 gói, 20g",201911_22019110,https://mmpro.vn/media/catalog/product/2/0/201911.jpg,https://online.mmvietnam.com/product/ca-phe-sua-3in1-gold-original-tui-24-goi-20g-goi.html,10029,"MM Food Service Hưng Phú",75000.000000,78000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",VINACAFE,Yes,Active,Túi,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
208015_10029,"Cà phê hòa tan Nescafe 3in1 rang đậm, túi 46 gói, 17g/16g",208015_22080158,https://mmpro.vn/media/catalog/product/2/0/208015.jpg,https://online.mmvietnam.com/product/ca-phe-hoa-tan-nescafe-3in1-dam-vi-ca-phe-tui-46-goi-17g-16g.html,10029,"MM Food Service Hưng Phú",144000.000000,152000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",NESCAFE,Yes,Active,Túi,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
209128_10029,"Cà phê hòa tan Vinacafe 3in1 Gold Original, túi 40 gói, 20g",209128_22091284,https://mmpro.vn/media/catalog/product/2/0/209128.jpg,https://online.mmvietnam.com/product/ca-phe-hoa-tan-vinacafe-3in1-gold-original-tui-40-goi-20g.html,10029,"MM Food Service Hưng Phú",127000.000000,139000.000000,"Đồ uống đóng hộp","Trà - Cà phê","Cà phê",VINACAFE,Yes,Active,Bịch,,,,,,,,MjUzMDY=,MjUzMDk=,MjUzMTI=
